688058	北京宝兰德软件	688058	-
688066	航天宏图信息技术	688066	-
688068	北京热景生物技术	688068	-
688078	北京龙软科技	688078	-
688080	北京映翰通网络技术	688080	-
688084	北京晶品特装科技	688084	-
688111	北京金山办公软件	688111	-
688168	北京安博通科技	688168	-
688169	北京石头世纪科技	688169	-
688172	北京燕东微电子	688172	-
688181	北京八亿时空液晶科技	688181	-
688197	首药控股(北京)	688197	-
688198	北京佰仁医疗科技	688198	-
688200	北京华峰测控技术	688200	-
688201	北京信安世纪科技	688201	-
688207	北京格灵深瞳信息技术	688207	-
688229	北京博睿宏远数据科技	688229	-
688236	北京市春立正达医疗器械	688236	-
688244	永信至诚科技	688244	-
688246	嘉和美康(北京)科技	688246	-
688253	北京英诺特生物技术	688253	-
688256	中科寒武纪科技	688256	-
688272	北京富吉瑞光电科技	688272	-
688277	北京天智航医疗科技	688277	-
688280	精进电动科技	688280	-
688282	北京理工导航控制科技	688282	-
688287	观典防务技术	688287	-
688291	北京金橙子科技	688291	-
688292	北京浩瀚深度信息技术	688292	-
688315	北京诺禾致源科技	688315	-
688316	北京青云科技	688316	-
688326	北京经纬恒润科技	688326	-
688338	北京赛科希德科技	688338	-
688339	北京亿华通科技	688339	-
688349	三一重能	688349	-
688356	北京键凯科技	688356	-
688369	北京致远互联软件	688369	-
688400	凌云光技术	688400	-
688432	有研半导体硅材料	688432	-
688456	有研粉末新材料	688456	-
688458	美芯晟科技(北京)	688458	-
688466	金科环境	688466	-
688468	科美诊断技术	688468	-
688485	北京九州一轨环境科技	688485	-
688489	三未信安科技	688489	-
688500	北京慧辰资道资讯	688500	-
688509	正元地理信息	688509	-
688520	北京神州细胞生物技术集团	688520	-
688561	奇安信科技	688561	-
688562	北京神舟航天软件技术	688562	-
688563	北京航空材料研究院	688563	-
688568	中科星图	688568	-
688569	北京铁科首钢轨道技术	688569	-
688570	北京天玛智控科技	688570	-
688597	北京煜邦电力技术	688597	-
688613	奥精医疗科技	688613	-
688621	北京阳光诺和药物研究	688621	-
688651	远江盛邦(北京)网络安全科技	688651	-
688658	悦康药业	688658	-
688687	北京凯因科技	688687	-
688722	北京同益中新材料科技	688722	-
688787	北京海天瑞声科技	688787	-
600033	福建发展高速公路	600033	-
600057	厦门象屿	600057	-
600067	冠城大通	600067	-
600103	福建省青山纸业	600103	-
600153	厦门建发	600153	-
600163	中闽能源	600163	-
600203	福建福日电子	600203	-
600388	福建龙净环保	600388	-
600436	漳州片仔癀药业	600436	-
600483	福建福能	600483	-
600493	福建凤竹纺织科技	600493	-
600549	厦门钨业	600549	-
600563	厦门法拉电子	600563	-
600573	福建省燕京惠泉啤酒	600573	-
600592	福建龙溪轴承(集团)	600592	-
600660	福耀玻璃工业	600660	-
600686	厦门金龙汽车	600686	-
600693	福建东百	600693	-
600711	盛屯矿业	600711	-
600734	福建实达	600734	-
600753	庚星能源	600753	-
600755	厦门国贸	600755	-
600802	福建水泥	600802	-
600815	厦门厦工机械	600815	-
600897	元翔(厦门)国际航空港	600897	-
601166	兴业银行	601166	-
601187	厦门银行	601187	-
601377	兴业证券	601377	-
601566	九牧王	601566	-
601899	紫金矿业	601899	-
601933	永辉超市	601933	-
603162	福建海通发展	603162	-
603180	金牌厨柜家居科技	603180	-
603209	兴通海运	603209	-
603280	福建南方路面机械	603280	-
603306	华懋(厦门)新材料科技	603306	-
603345	安井食品	603345	-
603363	福建傲农生物科技	603363	-
603383	福建顶点软件	603383	-
603408	厦门建霖健康家居	603408	-
603444	厦门吉比特网络技术	603444	-
603555	贵人鸟	603555	-
603615	茶花现代家居用品	603615	-
603628	清源科技	603628	-
603636	南威软件	603636	-
603663	三祥新材	603663	-
603668	福建天马科技	603668	-
603678	福建火炬电子科技	603678	-
603686	福龙马	603686	-
603696	安记食品	603696	-
603737	三棵树涂料	603737	-
603817	福建海峡环保	603817	-
603826	福建坤彩材料科技	603826	-
603893	瑞芯微电子	603893	-
603909	建发合诚工程咨询	603909	-
603933	福建睿能科技	603933	-
603992	厦门松霖科技	603992	-
605086	龙岩高岭土	605086	-
605118	厦门力鼎光电	605118	-
605299	舒华体育	605299	-
605365	立达信物联科技	605365	-
688010	福建福光	688010	-
688095	福建福昕软件开发	688095	-
688195	腾景科技	688195	-
688196	龙岩卓越新能源	688196	-
688278	厦门特宝生物工程	688278	-
688398	福建赛特新材	688398	-
688619	罗普特科技	688619	-
688778	厦门厦钨新能源材料	688778	-
600108	甘肃亚盛实业(集团)	600108	-
600192	兰州长城电工	600192	-
600307	甘肃酒钢集团宏兴钢铁	600307	-
600354	甘肃省敦煌种业	600354	-
600516	方大炭素新材料科技	600516	-
600543	甘肃莫高实业发展	600543	-
600720	甘肃祁连山水泥	600720	-
600738	兰州丽尚国潮实业	600738	-
601086	甘肃国芳工贸(集团)	601086	-
601212	白银有色	601212	-
601798	甘肃蓝科石化高新装备	601798	-
603132	金徽矿业	603132	-
603169	兰州兰石重型装备	603169	-
603919	金徽酒	603919	-
603999	读者出版传媒	603999	-
600004	广州白云国际机场	600004	-
600029	中国南方航空	600029	-
600030	中信证券	600030	-
600036	招商银行	600036	-
600048	保利发展控股	600048	-
600098	广州发展	600098	-
600143	金发科技	600143	-
600162	深圳香江控股	600162	-
600183	广东生益科技	600183	-
600185	格力地产	600185	-
600323	瀚蓝环境	600323	-
600325	珠海华发实业	600325	-
600332	广州白云山医药	600332	-
600380	健康元药业	600380	-
600382	广东明珠	600382	-
600383	金地(集团)	600383	-
600428	中远海运特种运输	600428	-
600433	广东冠豪高新技术	600433	-
600446	深圳市金证科技	600446	-
600499	科达制造	600499	-
600518	康美药业	600518	-
600525	长园科技	600525	-
600548	深圳高速公路	600548	-
600589	广东榕泰实业	600589	-
600673	广东东阳光科技控股	600673	-
600684	广州珠江发展	600684	-
600685	中船海洋与防务装备	600685	-
600728	佳都科技	600728	-
600866	广东肇庆星湖生物科技	600866	-
600868	广东梅雁吉祥水电	600868	-
600872	中炬高新技术实业(集团)	600872	-
600892	大晟时代文化投资	600892	-
600894	广州广日	600894	-
600999	招商证券	600999	-
601138	富士康工业互联网	601138	-
601139	深圳市燃气	601139	-
601228	广州港	601228	-
601238	广州汽车	601238	-
601318	中国平安保险(集团)	601318	-
601330	绿色动力环保	601330	-
601333	广深铁路	601333	-
601515	汕头东风印刷	601515	-
601615	明阳智慧能源集团	601615	-
601900	南方出版传媒	601900	-
603002	宏昌电子材料	603002	-
603038	东莞市华立实业	603038	-
603043	广州酒家	603043	-
603051	广州鹿山新材料	603051	-
603063	深圳市禾望电气	603063	-
603118	深圳市共进电子	603118	-
603160	深圳市汇顶科技	603160	-
603228	深圳市景旺电子	603228	-
603233	大参林医药	603233	-
603268	广东松发陶瓷	603268	-
603288	佛山市海天调味食品	603288	-
603309	广州维力医疗器械	603309	-
603322	超讯通信	603322	-
603328	广东依顿电子科技	603328	-
603335	广东迪生力汽配	603335	-
603336	宏辉果蔬	603336	-
603348	文灿	603348	-
603386	广东骏亚电子科技	603386	-
603390	广州通达汽车电气	603390	-
603535	广州市嘉诚国际物流	603535	-
603608	天创时尚	603608	-
603630	拉芳家化	603630	-
603725	广东天安新材料	603725	-
603797	广东联泰环保	603797	-
603808	深圳歌力思服饰	603808	-
603813	广东原尚物流	603813	-
